Project Name,Category,F/G,Centre,Year,Mode,Rely, RelyN ,Data,DataN,cplx,cplx2,extime,time2,stor,stor2,virt,virt2,turn,turn2,acap,acap2,aexp,aexp2,pcap,pcap2,vexp,vexp2,lexp,lexp2,modp,modp2,tool,tool2,sced,sced2,kloc,Actual Eff,InterM, Nom. Cost , Multiplier ,Est. Effort,Adj. Cost
de,avionicsmonitoring,g,2,1979,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,25.9,117.6,114.819854,990033.51,0.86,99,853655.7999
de,avionicsmonitoring,g,2,1979,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,24.6,117.6,108.3848484,934547.71,0.86,93.45,805813.2042
de,avionicsmonitoring,g,2,1979,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,7.7,31.2,29.51147164,254462.49,0.86,25.45,219410.1285
de,avionicsmonitoring,g,2,1979,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,8.2,36,31.66596806,273039.62,0.86,27.3,235428.2499
de,avionicsmonitoring,g,2,1979,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,9.7,25.2,38.22131256,329563.04,0.86,32.96,284165.534
de,avionicsmonitoring,g,2,1979,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,2.2,8.4,7.254953901,62555.8,0.86,6.26,53938.69838
de,avionicsmonitoring,g,2,1979,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,3.5,10.8,12.20330496,105222.92,0.86,10.52,90728.40357
erb,avionicsmonitoring,g,2,1982,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,66.6,352.8,330.6833978,2851315.62,0.86,285.13,2458545.195
gal,missionplanning,g,1,1980,semidetached,h,1.15,l,0.94,h,1.15,xh,1.66,xh,1.56,l,0.87,h,1.07,h,0.86,h,0.91,h,0.86,n,1,h,0.95,h,0.91,h,0.91,n,1,7.5,72,28.65430437,454667.39,1.59,45.47,721435.8857
gal,missionplanning,g,1,1980,semidetached,n,1,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,h,0.86,vh,0.82,vh,0.7,n,1,h,0.95,n,1,n,1,n,1,20,72,85.95573333,329816.97,0.38,32.98,126552.6216
gal,missionplanning,g,1,1984,semidetached,n,1,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,h,0.86,vh,0.82,h,0.86,n,1,h,0.95,n,1,n,1,n,1,6,24,22.31776268,105208.11,0.47,10.52,49596.12819
gal,missionplanning,g,1,1980,semidetached,n,1,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,h,0.86,vh,0.82,vh,0.7,n,1,h,0.95,n,1,n,1,n,1,100,360,521.3402486,2000411.78,0.38,200.04,767569.22
gal,missionplanning,g,1,1985,semidetached,n,1,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,h,0.86,vh,0.82,n,1,n,1,l,1.07,n,1,n,1,n,1,11.3,36,45.34914584,279981.54,0.62,28,172858.0751
gal,missionplanning,g,1,1980,semidetached,n,1,l,0.94,h,1.15,n,1,n,1,h,1.15,l,0.87,h,0.86,h,0.91,h,0.86,l,1.1,vl,1.14,n,1,n,1,n,1,100,215,521.3402486,4758826.52,0.91,475.88,4343886.72
gal,missionplanning,g,1,1983,semidetached,n,1,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,h,0.86,vh,0.82,h,0.86,n,1,h,0.95,n,1,n,1,n,1,20,48,85.95573333,405203.71,0.47,40.52,191016.9774
gal,missionplanning,g,1,1982,semidetached,n,1,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,h,0.86,n,1,n,1,n,1,vl,1.14,n,1,n,1,n,1,100,360,521.3402486,4182045.53,0.8,418.2,3354719.849
gal,missionplanning,g,1,1980,semidetached,n,1,l,0.94,h,1.15,n,1,xh,1.56,l,0.87,l,0.87,h,0.86,vh,0.82,vh,0.7,n,1,h,0.95,n,1,n,1,n,1,150,324,821.0005818,4914351.44,0.6,491.44,2941636.176
gal,missionplanning,g,1,1984,semidetached,n,1,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,h,0.86,h,0.91,h,0.86,n,1,h,0.95,n,1,n,1,n,1,31.5,60,142.9647848,747920.05,0.52,74.79,391274.2553
gal,missionplanning,g,1,1983,semidetached,n,1,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,h,0.86,vh,0.82,h,0.86,n,1,h,0.95,n,1,n,1,n,1,15,48,62.27926304,293590.52,0.47,29.36,138401.432
gal,missionplanning,g,1,1984,semidetached,n,1,l,0.94,h,1.15,n,1,xh,1.56,l,0.87,l,0.87,h,0.86,h,0.91,n,1,n,1,h,0.95,n,1,n,1,n,1,32.5,60,148.0575706,1405021.16,0.95,140.5,1333322.205
LOCK,Security,g,0,2017,organic,h,1.15,l,0.94,n,1,n,1,n,1,n,1,n,1,h,0.86,n,1,n,1,n,1,h,0.95,vh,0.82,vh,0.83,n,1,0.06,0.4,0.166804895,1002.65,0.6,0.1,602.6819457
R2C,DataAnalytics,g,0,2016,organic,h,1.15,h,1.06,n,1,n,1,vh,1.21,n,1,l,0.87,l,1.19,l,1.13,n,1,n,1,h,0.95,h,0.91,h,0.91,n,1,0.08,0.5,0.225628764,3062.91,1.36,0.31,4157.906427
Real Estate,Linear Regression,g,0,2016,organic,h,1.15,h,1.06,h,1.15,n,1,h,1.06,n,1,l,0.87,n,1,vl,1.29,l,1.17,n,1,h,0.95,h,0.91,l,1.1,n,1,0.3,1,0.903914381,16772.09,1.86,1.68,31120.54064
Inter. WS,Web Dev,g,0,2016,semidetached,n,1,h,1.06,n,1,n,1,n,1,n,1,l,0.87,h,0.86,n,1,n,1,n,1,n,1,l,1.1,n,1,n,1,1,2,3,26172.04,0.87,2.62,22832.51561
X,avionicsmonitoring,g,2,1985,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,19.7,60,84.51298242,728712.69,0.86,72.87,628332.079
X,avionicsmonitoring,g,2,1985,semidetached,h,1.15,l,0.94,h,1.15,n,1,n,1,l,0.87,l,0.87,n,1,n,1,n,1,n,1,h,0.95,h,0.91,n,1,l,1.06,66.6,300,330.6833978,2851315.62,0.86,285.13,2458545.195
X,monitor_control,g,2,1986,semidetached,h,1.15,n,1,n,1,h,1.11,n,1,n,1,n,1,n,1,h,0.91,h,0.86,n,1,n,1,n,1,n,1,n,1,15,90,62.27926304,622162.92,1,62.22,621533.8558
X,monitor_control,g,2,1986,semidetached,h,1.15,n,1,h,1.15,n,1,n,1,n,1,n,1,n,1,h,0.91,h,0.86,n,1,n,1,n,1,n,1,n,1,38,210,176.3919994,1825636.91,1.03,182.56,1889513.205
X,monitor_control,g,2,1986,semidetached,n,1,n,1,n,1,n,1,n,1,n,1,n,1,n,1,h,0.91,h,0.86,n,1,n,1,n,1,n,1,n,1,10,48,39.54770216,309500.32,0.78,30.95,242214.9481
X,realdataprocessing,g,2,1982,semidetached,n,1,vh,1.16,h,1.15,vh,1.3,vh,1.21,l,0.87,h,1.07,vh,0.71,h,0.91,n,1,l,1.1,h,0.95,vh,0.82,vh,0.83,l,1.06,15.4,70,64.14229016,610303.54,0.95,61.03,580693.9617
X,realdataprocessing,g,2,1982,semidetached,n,1,vh,1.16,h,1.15,vh,1.3,vh,1.21,l,0.87,h,1.07,vh,0.71,h,0.91,n,1,l,1.1,h,0.95,vh,0.82,vh,0.83,l,1.06,48.5,239,231.8205874,2205735.46,0.95,220.57,2098721.686
X,realdataprocessing,g,2,1982,semidetached,n,1,vh,1.16,h,1.15,vh,1.3,vh,1.21,l,0.87,h,1.07,vh,0.71,h,0.91,n,1,l,1.1,h,0.95,vh,0.82,vh,0.83,l,1.06,16.3,82,68.35517062,650388.41,0.95,65.04,618834.0755
